input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
150 parents knowingly signed up to fake business falsely claiming federal subsidies code for the Australian taxpayers to the tune of 8m it no surprise all accused are MOSLEMS Five appear in court over 8m child care fraud,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
saw you did already my friend,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Oh boy just what want picture with an IMPEACHED former President whose wife committed MULTIPLE VIOLATIONS of the Espionage Act,Other hate Speech,Other hate Speech,Explicit White Supremacism,3,3,2,1,1,1,1
Just wondering as an Atheist how does Bible Thumper define Hell Does it have post code or is Hell simply fictional threat to keep the narrow minded in check,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
Swedish Armed Forces Banned from National Day to Protect Non Whites Feelings Full Story,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Oh really,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
White Nationalism is simply the belief in homeland and self determination for White people To describe that and people who believe in it as enemies of peace is complete disgrace,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
How the new NOTHING BURGER from the DNC,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Police Raid German Chapter of Blood amp,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
If only white women voted in 2016 Red is Republican Trump The white female vote is not even bad and it could be dramatically improved if people stopped chasing them away and Conservative republican parties made better effort of appealing to them,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
It was not me not sure of everything that went on in the chat,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Amen Then why are gay people so plagued by Biblical doctrine if the Bible does not say it Stop hating on Christians then,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
AMEN sister,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Care to prove me wrong,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
If Democrats win in 2020 they will weaponize state power to make tech censorship even worse,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
How much better would your life be if the IRS stopped deducting your income tax Well Obama was secretly funneling what they deduct to foreign nationals with no visa or any immigration status whatsoever That treason and it not fair on us Damn him,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
Everything is problematic,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
I100 legal to ask foreign govt to investigate US official who admitted forcing said country to fire prosecutor in way that benefits his own son If that former official happens to be current opponent that not relevant if there was cause to ask for the investigation,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
You never paid cent of Tax Revenue in your life parasite feeding off Private Enterprise and always trying to Tax them more to pay for Leaches and Losers bet you know about the trickle down thing Dinosaur,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Are you that hideous,Other hate Speech,Other hate Speech,Neutral,3,3,0,1,1,0,1
This is the point now where they would huff definitely not mad tho and say something about only watching shadow puppet recreations of Triumph of the Will do not lecture people who watch media What would ask people is to come at the Spectacle with total honesty,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
mean either way the hype itself is worth the meme,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Historically that not entirely true Plenty of truly brilliant artists died broke and starving Their work only generated large amounts of money long after they were dead,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
not sure this would work book of this nature would be strictly for the sake of my fan and followers here It would not make any sense otherwise So would have to advertise it here which would put it on the radar My posts get between million views month,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
The problem are not speakers but the violent mob Arrest and charge,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
Did ANTIFA endorse you too Debbie saw you LIE about ANTIFA on CNN where you claimed they were PEACEFUL PROTESTORS meanwhile they are declared TERRORISTS in other states How much did SOROS PAY YOU to say that about ANTIFA We know SOROS FUNDS ANTFA,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
This is terrifying We live in society where politics is determined not by the people but by 11 judges and those wealthy enough to take cases to the SupremeCourt,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Saffi Antiwhite hate posted by Jewish individuals is not extreme racism and you re snowflake if you think it is Also Saffi We can not have whites ing this not extreme racism Shut it down Err why,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
No no no and no Neanderthals WERE primitive Hence why they could not compete and thus went extinct The incredibly low percentage of admixture suggests that our ancestors only mixed with them for one MAYBE two generations and then stopped completely,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
hope the incoming Congress takes away EVERY DOLLAR from every American college that supports PROFESSORS that call for MURDER,Other hate Speech,Implicit White Supremacism,Other hate Speech,3,1,3,1,1,1,1
Race is ultimately meaningless However the desire to preserve each ethnic group is not something find wrong to do however the idea of that is seen as racist,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Is inciting lobbying of advertisers to get man sacked from his job illegal If its not ScottMorrision this form of LEFTY BANDWAGON BULLYING AND HARASSMENT SHOULD BE It is nothing short of domestic terrorism FreeSpeech,Other hate Speech,Explicit White Supremacism,Implicit White Supremacism,3,2,1,1,1,1,1
Because even though it completely lame Trump as Hitler Is just perfect When your TDS flares up you need some bad propaganda,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
This 30 min video explains Cultural Marxism,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
German Parenting Magazine Warns That Blond and Cheerful Families are Dangerous May Be Secret Nazis Read more,Explicit White Supremacism,Other hate Speech,Implicit White Supremacism,2,3,1,1,1,1,1
Look at the FROTHING HATRED from the Commies WOW,Other hate Speech,Neutral,Explicit White Supremacism,3,0,2,1,0,1,1
Majority who disagree Let have vote on it,Neutral,Other hate Speech,Implicit White Supremacism,0,3,1,0,1,1,1
COPE,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Why are the White hands painted black then,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
The Left is trying to make this evil It not just Trump amp,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
How about that Minnesota nice culture,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
The Holocaust has become religious event that is enforced with modern blasphemy laws,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
They have to defend regions territories not countries The current leaders in central Euro like Putin Jinping better then Trump The German economy will miss the 30k troops spending their but think Eastern Europe would like troops there more Maybe they will move most,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Hillbilly Elegy is passionate and personal analysis of culture in crisis that of white working class Americans The decline of this group demographic of our country that has been slowly disintegrating over forty years,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
And so what exactly are you doing that any different than what anyone else is doing,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
And never said anything about the past being some pure wonderland was not going to say anything about the past All was going to say is that lifetime of experience says that your theory about why people are unhappy is 100 wrong,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Tommy should sue Facebook for defamation and discrimination,Other hate Speech,Other hate Speech,Implicit White Supremacism,3,3,1,1,1,1,1
Guess what law that creates hurdles to appearing on ballot for the incumbent President is unlikely to survive constitutional scrutiny,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Me vs WSJ 1997 Latest alleged portent Bill Redmond victory in the recent NM special election But immigration enthusiasts can not count The Dem vote was split by the Green Party not by mass conversion of Hispanics Rep Richmond lost in 2000,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
If big named democrats are getting fooled by foreign propaganda just imagine how many other people are,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Don be fooled by this It has language about White Supremacist terror It has barely anything to do with antifa More Republican deception at work Just in time for Trump reelection,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
wonder why,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The debate whether to lower the age of criminal responsibility in Germany has surfaced after an 18 year old woman was gang raped by two 12 year olds 14 year olds According to German media all the boys are Turks with Bulgarian citizenship,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
White Pride March in Wales Passes off Peacefully via,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
End NFL Welfare No Taxpayer dollars for America haters BoycottheNFL BoycottingNFLSponsors,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
Lol thank you Skye was actually having blast this morning when that bot came to me so that post was entirely humorous,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Climate change LEFT WING TAX ON AMERICA FAKE SCIENCE LIES,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
Oh you re finally awake,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Imagine him thanking the majority of his base The people who built the country and put him in office by race Look forward to being with our great White loving community,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
Would you give couple of examples please,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
What happened,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
so tired of this women must submit to men blocking anyone with that view ve job to do here It to wake people up to our imminent replacement the orchestrated incitent of violence against us The future for our children is looking bleak,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
TOTALLY INAPPROPRIATE there is NOTHING appropriate about murdering babies Use protection or suffer the consequences do not ask other people to murder your babies,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Tbh kinda enjoy the Soviet apartment building style not for every building but it looks nice,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Speaker Pelosi got put in time out and can not speak any more today,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
There reason they say One death is tragedy one million is statistic It part and parcel of living in Society,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
German Anti Islam Rally Hits Record Number More,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
Most people are saying first time offenders get their pages back So praying that is my category,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Who wouldn want to add known loser who will whine constantly to their ticket,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
Im not sure but see her allot,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
wonder if any of the African Dictators have her penciled in,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
You are asking to shut down the free speech of an American citizen who happens to be President Because you don like what he saying Nope,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Yuge PoliticalNews If the world was really fair place JusticePrevailed LockHerUp HillaryClinton WhatDifferenceDoesItMake TarmacGate BillClinton BarackObama DeepState DeepStateCorruption Russia DeepStatePanic Gitmo KAG2020 KAG QAnon,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
lol how can you be Qanon follower and STILL believe Hollywood meme version of history Have you learnt nothing Do you understand projection,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Also no communism to make people more afraid of reporting actual numbers than murdering thousands,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
This is easily one of the sweetest most innocent and most beautiful things ve seen long while not crying you re crying,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
BREAKING Mert Ney the man accused of fatally stabbing one woman and wounding another in the CBD earlier this week has been released from hospital He has been taken to Surry Hills Police Station where it expected he will be charged with murder 9News,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
If we do not stop this It the Germans again we are in danger of repeating history NoMoreBrotherWars,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
Why do people rent them out to trashy party goers in the first place,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
This is CNN TBH he is just as informed as most of their experts,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
does its usual weak attempt to cover for Democrats Teens should not have kids in the first place,Explicit White Supremacism,Other hate Speech,Implicit White Supremacism,2,3,1,1,1,1,1
Good they will most likely be relieved to watch you walk out the door the folk at Commonwealth Bank will never be bullied the leftist MARXIST,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Yes very relevant MOZLEMS freeload at majority of Public Housing at Tax Payer expense No different to England Real Australians tend to rent or buy somewhere to live,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
Diverse societies all fail only Nations last,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
Facts Before the Left popularized ClimateHysteria None of this happened,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
Amazing how someone how Julienne Davis WANTS to be good but is ATTACKED for it by the Hollywood Elite,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Yep that gets added in Denial of free speech,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
The dismantling of the US Turkey relationship continues And Erdogan shows no signs of coming to his senses,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
Everyone in the world is allowed to prefer living among white people Except white people,Explicit White Supremacism,Explicit White Supremacism,Other hate Speech,2,2,3,1,1,1,1
Tom Cruise Picked Hell of Week to Meet the President of Ukraine You think The time is oh so deep state interesting Cruise told Zelensky that he was interested in Ukrainian locations for the filming of one of his new film projects Haha ok,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
USA TODAY Rural Americans would be serfs if we abolished the Electoral College Why else do you think the entire Neo Liberal Elite are fully on board with this change That the plan To turn all those racist deplorables into powerless serfs,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
The House Speaker should CENSURE the LOW CLASS DEMS that acted like IDIOTS during the speech,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Germany Chief Jew Who Welcomed Refugee Invasion Now Warns Jews about Arab Attacks via,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
In Sept 2016 Carlin moderated an NSD event that featured Comey former AG Loretta Lynch former CIA Director John Brennan and White House Chief of Staff Denis McDonough Carlin abruptly resigned shortly thereafter amid controversy related to his handling of FISA material,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
half Spanish amp,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
So are you claiming Islamic Nations Country of origin torture their Citizens,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Just sicking this MUST BE BANNED in all western countries Eid Al Adha animal sacrifice festival sees streets turn red with blood as cows are beheaded,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
BBC is petrified Its plans for New World Order taking bit of set back UK leaves EU collapses Getting better every day,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Equally stupid people,Explicit White Supremacism,Other hate Speech,Other hate Speech,2,3,3,1,1,1,1
No worries In just six years white British babies will be less than half of all babies born in England and Wales,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
You could not be more wrong,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
my middle school sister is recommending Negative XP to her friends now What the fuck lmfao,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Broke 11 denial Woke Holocaust denial Bespoke Watergate denial,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
So Newcastle and Coff Harbor councils checked with aboriginal elders before allowing Jacinta Price right to free speech these the elders who obviously condone the atrocious treatment of women and children If they do not then nobody listens to them if so they re joke,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Toothy smears me as white supremacist does not mention that this Gatekeeper Ball was run by two Israeli dual citizens because ATLANTIC Editor Jeffry Goldberg is also an Israeli dual citizen,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
You cry foul and spit your dummy out Grow up,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Over the years Western globalist elites backed the Chinese Communist Party rise to power week of work,Implicit White Supremacism,Other hate Speech,Other hate Speech,1,3,3,1,1,1,1
Case closed,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Domestic enemies in congress have launched an all out assault on the truth In their shock at being so suddenly exposed over the backfired whistleblower stunt they re going for the jugular by openly accusing the president of crimes There is only one remedy for this DECLAS,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
Did coin that term recently,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
That wonderful thing you ve done for those people You make our race proud do hope everyone was alright and all that was lost was only property and not lives,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
Yeah be fit if you can But do not be some arrogant self obsessed meat head,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Did you guys see this Mika Brzezinski the host suggests is not Barron Father The dem way of doing things has left them between rock and hard place They really are sick sometimes,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
Across Europe NGOs social workers or even the migration authorities themselves do everything they can to help fake asylum seekers to find other ways to stay in Europe Video of German social worker advising man from Cameroon to have child with German woman to stay in,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
This clown that did the crime should be sent to FEDERAL PRISON for HATE CRIME,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Labor despises business owners They want the business to fail and all the employees in the Centrelink queue,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
Now the next time you see woman degrading herself in public by similar open displays and symbols of her submission you will know what it really means and who is ultimately responsible for putting these doublethink ing confused depraved ideas into her head,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
Imagine what real dissidents could have done with 22 million zog bucks,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Germany you look out of your window and see this No wonder the woman looks as if she is crying Her govt has allowed whole districts to be colonised No not allowed encouraged She knows she has been betrayed by those who should have represented her interests,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Yes why,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
ANTIFA are DOMESTIC TERRORISTS when are governments worldwide going to deal with them,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Means you are not reliant on other countries to refine your oil The Chinese are taking over our ports Shipping is only way to transport when you live on an island continent You would also need to reopen Refinery If the Commi Greens allow you What the plan for,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Despite being the staunchest proponents of abortion in the US Jews aware of abortion damaging impact support strict abortion restrictions in Israel where abortions must be approved by strict governing body are typically only allowed if the baby father isn Jewish,Other hate Speech,Explicit White Supremacism,Implicit White Supremacism,3,2,1,1,1,1,1
call this one the Why does everyone say look like school shooter fit,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
It possible to support the lawful 2nd Amendment and also say there are those who commit crimes using firearms We have to change the words we use to talk about the issue We must end firearm abuse,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Wait when exactly did declare myself to be White supremacist,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
What wrong with my grammar other than obvious character abbreviations,Other hate Speech,Other hate Speech,Neutral,3,3,0,1,1,0,1
Government officials asking corporations to sensor people is grossly unAmerican Free Speech is to protect not just the speech you like but also the speech you find abhorrent you are either for ALL of it or NONE of it,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
Tim Southhippopotomous has book out on why he hates White Australians Should be in all bookshops soon will be lining up for Copy,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Hitler Lives 1955 CIA Document Said It Might Be Possible,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Why do you want terrorist to determine our rhetoric,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Because PC speech code is better way to get people to put down the fork And even if these plates make you super duper sad you have zero right to be free from offense Calls to ban speech you dislike are evil,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
Everything IS about race whether anyone likes it or not Video was funny but the story is ending another way frenz,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Incog Man Apeman Burns Beautiful White Teen In Car Trunk via,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
It so hard cram everything down into one little tweet But do try my best,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
know it easier said than done but White people have to figure out how to group up in real life White people have to figure out how to become collective entity There is absolutely nothing we can do as atomized individuals who are only collective online,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
STOP using children in your attempt to score political points if people want to break the law and enter countries illegally expect the consequences,Other hate Speech,Other hate Speech,Other hate Speech,3,3,3,1,1,1,1
China and Iranian backed Hezbollah have killed more Americans then all of the last wars combined and you want to change the subject Mr Maltz isn some moron who doesn know what he talking about,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
This is an entirety rational response There is nothing left to achieve there making deal with the Taliban is the least bad option That truly does suck,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
While your kids are at school learning this garbage the people that developed this school curriculum children are in private school learning about reading writing arithmetic and science,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
BlackLivesMatter WhitePrivilege,Other hate Speech,Neutral,Explicit White Supremacism,3,0,2,1,0,1,1
It actually very clear Search the terms The Project for New American Century New Pearl Harbor countries in years,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
You can not be citizen elsewhere,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
